-1.077;10.001;-0.037;-1.574;5.672;-0.686;2.151;15.04;0.076;2.743;12.175;-0.305;0.0;10.351;0.0;1.079;10.008;-0.037;0.0;10.351;0.0;-0.002;10.981;-0.346;-0.352;14.964;0.387;-1.736;14.878;0.14;2.743;12.175;-0.305;2.551;9.755;0.115;0.734;5.658;-0.638;0.163;1.151;-2.332;0.0;10.351;0.0;-1.077;10.001;-0.037;0.79;14.898;0.405;2.151;15.04;0.076;1.079;10.008;-0.037;0.734;5.658;-0.638;0.263;15.447;-0.468;0.365;16.395;0.976;-2.611;12.152;0.059;-2.838;9.691;0.547;-1.736;14.878;0.14;-2.611;12.152;0.059;-0.002;10.981;-0.346;0.134;13.336;-0.133;0.134;13.336;-0.133;0.263;15.447;-0.468;-1.574;5.672;-0.686;-1.424;1.107;-2.222
-1.034;9.992;0.068;-1.542;5.676;-0.648;2.207;15.015;0.257;2.796;12.15;-0.128;0.043;10.343;0.105;1.122;9.999;0.068;0.043;10.343;0.105;0.041;10.973;-0.241;-0.301;14.948;0.538;-1.679;14.868;0.264;2.796;12.15;-0.128;2.594;9.731;0.29;0.766;5.66;-0.601;0.167;1.172;-2.336;0.043;10.343;0.105;-1.034;9.992;0.068;0.841;14.876;0.57;2.207;15.015;0.257;1.122;9.999;0.068;0.766;5.66;-0.601;0.327;15.438;-0.303;0.425;16.378;1.147;-2.562;12.145;0.147;-2.806;9.683;0.617;-1.679;14.868;0.264;-2.562;12.145;0.147;0.041;10.973;-0.241;0.186;13.324;0.002;0.186;13.324;0.002;0.327;15.438;-0.303;-1.542;5.676;-0.648;-1.419;1.126;-2.23
-1.005;9.995;0.187;-1.519;5.691;-0.596;2.258;14.992;0.455;2.836;12.126;0.066;0.072;10.345;0.223;1.151;10.002;0.184;0.072;10.345;0.223;0.07;10.975;-0.123;-0.252;14.94;0.714;-1.627;14.876;0.421;2.836;12.126;0.066;2.622;9.708;0.482;0.79;5.674;-0.554;0.168;1.206;-2.332;0.072;10.345;0.223;-1.005;9.995;0.187;0.889;14.86;0.755;2.258;14.992;0.455;1.151;10.002;0.184;0.79;5.674;-0.554;0.387;15.44;-0.112;0.487;16.364;1.347;-2.52;12.16;0.252;-2.785;9.693;0.685;-1.627;14.876;0.421;-2.52;12.16;0.252;0.07;10.975;-0.123;0.228;13.322;0.158;0.228;13.322;0.158;0.387;15.44;-0.112;-1.519;5.691;-0.596;-1.417;1.159;-2.228
-0.975;9.994;0.342;-1.494;5.706;-0.522;2.295;14.982;0.684;2.879;12.116;0.303;0.103;10.344;0.376;1.182;10.0;0.335;0.103;10.344;0.376;0.1;10.974;0.031;-0.216;14.925;0.926;-1.589;14.874;0.617;2.879;12.116;0.303;2.661;9.7;0.732;0.815;5.688;-0.486;0.172;1.249;-2.328;0.103;10.344;0.376;-0.975;9.994;0.342;0.924;14.845;0.974;2.295;14.982;0.684;1.182;10.0;0.335;0.815;5.688;-0.486;0.428;15.436;0.111;0.516;16.347;1.579;-2.484;12.163;0.386;-2.767;9.688;0.76;-1.589;14.874;0.617;-2.484;12.163;0.386;0.1;10.974;0.031;0.268;13.315;0.351;0.268;13.315;0.351;0.428;15.436;0.111;-1.494;5.706;-0.522;-1.412;1.2;-2.226
-0.947;9.975;0.5;-1.473;5.705;-0.447;2.34;14.948;0.939;2.935;12.084;0.561;0.13;10.324;0.532;1.209;9.98;0.488;0.13;10.324;0.532;0.127;10.955;0.188;-0.174;14.886;1.162;-1.544;14.853;0.842;2.935;12.084;0.561;2.709;9.671;1.001;0.837;5.685;-0.418;0.173;1.279;-2.329;0.13;10.324;0.532;-0.947;9.975;0.5;0.967;14.804;1.214;2.34;14.948;0.939;1.209;9.98;0.488;0.837;5.685;-0.418;0.475;15.411;0.359;0.555;16.302;1.841;-2.444;12.151;0.541;-2.75;9.668;0.84;-1.544;14.853;0.842;-2.444;12.151;0.541;0.127;10.955;0.188;0.312;13.286;0.56;0.312;13.286;0.56;0.475;15.411;0.359;-1.473;5.705;-0.447;-1.41;1.229;-2.23
-0.918;9.935;0.723;-1.452;5.693;-0.335;2.368;14.905;1.214;2.962;12.04;0.843;0.16;10.284;0.756;1.239;9.939;0.713;0.16;10.284;0.756;0.157;10.914;0.411;-0.144;14.831;1.44;-1.515;14.809;1.118;2.962;12.04;0.843;2.717;9.635;1.315;0.858;5.671;-0.305;0.177;1.318;-2.329;0.16;10.284;0.756;-0.918;9.935;0.723;0.997;14.752;1.49;2.368;14.905;1.214;1.239;9.939;0.713;0.858;5.671;-0.305;0.503;15.368;0.643;0.577;16.245;2.133;-2.409;12.114;0.747;-2.738;9.625;0.954;-1.515;14.809;1.118;-2.409;12.114;0.747;0.157;10.914;0.411;0.347;13.24;0.819;0.347;13.24;0.819;0.503;15.368;0.643;-1.452;5.693;-0.335;-1.405;1.266;-2.238
-0.886;9.883;0.974;-1.433;5.67;-0.191;2.4;14.849;1.527;3.002;11.985;1.157;0.191;10.231;1.005;1.27;9.886;0.959;0.191;10.231;1.005;0.188;10.862;0.66;-0.112;14.761;1.749;-1.484;14.752;1.43;3.002;11.985;1.157;2.744;9.585;1.65;0.878;5.647;-0.171;0.177;1.358;-2.322;0.191;10.231;1.005;-0.886;9.883;0.974;1.029;14.685;1.798;2.4;14.849;1.527;1.27;9.886;0.959;0.878;5.647;-0.171;0.532;15.31;0.959;0.6;16.172;2.459;-2.373;12.065;0.99;-2.73;9.574;1.098;-1.484;14.752;1.43;-2.373;12.065;0.99;0.188;10.862;0.66;0.385;13.18;1.107;0.385;13.18;1.107;0.532;15.31;0.959;-1.433;5.67;-0.191;-1.404;1.305;-2.233
-0.863;9.811;1.263;-1.423;5.631;-0.008;2.425;14.771;1.858;3.028;11.907;1.49;0.215;10.159;1.287;1.293;9.814;1.234;0.215;10.159;1.287;0.209;10.791;0.944;-0.087;14.674;2.085;-1.46;14.677;1.771;3.028;11.907;1.49;2.763;9.512;2.001;0.889;5.607;-0.005;0.172;1.4;-2.308;0.215;10.159;1.287;-0.863;9.811;1.263;1.054;14.601;2.129;2.425;14.771;1.858;1.293;9.814;1.234;0.889;5.607;-0.005;0.553;15.234;1.299;0.619;16.08;2.807;-2.342;12.001;1.26;-2.724;9.511;1.264;-1.46;14.677;1.771;-2.342;12.001;1.26;0.209;10.791;0.944;0.412;13.101;1.424;0.412;13.101;1.424;0.553;15.234;1.299;-1.423;5.631;-0.008;-1.408;1.348;-2.216
-0.85;9.733;1.581;-1.425;5.582;0.224;2.431;14.683;2.21;3.037;11.823;1.824;0.228;10.08;1.595;1.306;9.735;1.53;0.228;10.08;1.595;0.22;10.713;1.254;-0.08;14.577;2.453;-1.453;14.59;2.144;3.037;11.823;1.824;2.785;9.425;2.33;0.887;5.556;0.202;0.158;1.451;-2.274;0.228;10.08;1.595;-0.85;9.733;1.581;1.062;14.51;2.491;2.431;14.683;2.21;1.306;9.735;1.53;0.887;5.556;0.202;0.554;15.15;1.671;0.623;15.977;3.189;-2.32;11.923;1.563;-2.716;9.437;1.471;-1.453;14.59;2.144;-2.32;11.923;1.563;0.22;10.713;1.254;0.424;13.015;1.771;0.424;13.015;1.771;0.554;15.15;1.671;-1.425;5.582;0.224;-1.42;1.402;-2.173
-0.838;9.674;1.983;-1.411;5.555;0.534;2.42;14.628;2.6;3.027;11.769;2.198;0.24;10.021;1.988;1.317;9.675;1.911;0.24;10.021;1.988;0.229;10.655;1.649;-0.086;14.51;2.871;-1.461;14.521;2.566;3.027;11.769;2.198;2.796;9.368;2.696;0.9;5.528;0.487;0.194;1.577;-2.234;0.24;10.021;1.988;-0.838;9.674;1.983;1.056;14.452;2.9;2.42;14.628;2.6;1.317;9.675;1.911;0.9;5.528;0.487;0.536;15.091;2.086;0.612;15.901;3.613;-2.298;11.859;1.918;-2.698;9.379;1.732;-1.461;14.521;2.566;-2.298;11.859;1.918;0.229;10.655;1.649;0.426;12.955;2.18;0.426;12.955;2.18;0.536;15.091;2.086;-1.411;5.555;0.534;-1.382;1.534;-2.122
